Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata,Dinoflagellata,Cryptophytes,picophytoplankton,Basin
7.95,3.86,0,1.28,0.1,0.00,0,1.67,1
4.18,14.33,0,0.06,0.24,0.00,0,2.33,1
5.4,12.19,0.12,0.43,0.38,0.00,0,4.43,1
7.27,5.7,0,0.46,0.07,0.00,0,1.77,1
10.99,3.93,0,0.59,0.47,0.00,0,0.79,1
4.8,5.36,0,0.42,0.32,0.00,0,0.44,1
7.43,6.11,0,3.04,1.48,0.00,0,0.95,1
10.53,3.93,0,0.59,0.47,0.00,0,2.05,1
4.1,5.36,0,0.42,0.32,0.00,0,1.59,1
6.97,6.11,0,3.04,1.48,0.00,0,2.37,1
3.11,5.32,0.28,0.07,0.35,0.00,0,4.2,1
3.87,5.03,0,0.14,0.16,0.00,0,3.18,1
4.14,3.51,0.1,0.65,0.06,0.00,0,5.33,1
2.24,2.57,0.04,0.89,0.07,0.00,0,3.7,1
2.29,4.04,0,0.46,0.18,0.00,0,4.08,1
4.78,2.48,0.06,2.55,0.01,0.00,0,2.72,1
5.53,2.31,0.01,0.25,0.06,0.00,0,3.56,1
7.02,5.72,0.02,1.06,0.42,0.00,0,3.37,1
8.97,8.91,0.05,0.93,0.99,0.00,0,4.72,1
6.78,3.68,0,0.57,0,0.01,0,4,1
7.1,7.27,0.04,1.84,0.08,0.00,0,3.37,1
5.96,2.36,0.08,2.17,0.02,0.00,0,3.39,1
6.31,4.44,0.02,0.29,0.03,0.00,0,3.62,1
0.67,1.8,0.08,0.19,0.08,0.00,0,0.53,1
0.72,1.48,0.82,0.85,0.11,0.03,0,0.36,1
0.52,2.1,0.05,0.8,0.02,0.03,0,0.42,1
0.44,1.94,0,0.34,0.05,0.00,0.31,0.62,1
0.73,2.41,0,0.38,0.1,0.00,0.2,0.81,1
0.57,1.21,0,0.09,0,0.00,0.02,0.72,1
0.49,3.17,0.22,0.31,0.08,0.01,0,1.12,1
0.3,3.62,0.33,0.32,0.04,0.01,0,0.79,1
0.09,3.81,0.28,0.1,0.05,0.00,0,0.46,1
0.98,5,0.04,1.4,0.52,0.00,0,2.8,1
0.59,3.43,0.07,1.38,0.6,0.00,0,2.56,1
0.62,2.62,0.25,0.42,0.05,0.00,0,2.93,1
0.37,2.11,0.78,0.78,0.34,0.03,0,1.46,1
0.35,4.71,0.59,0.93,1.26,0.00,0,1.54,1
1.63,4.69,0.37,0.88,0.55,0.00,0,1.61,1
1.4,4.05,0.14,2.74,0.7,0.00,0,3.68,1
2.06,4.49,0.06,5.33,0.07,0.00,0,2.09,1
1.38,4.41,0.28,1.81,0.17,0.10,0,3.86,1
2.47,5.35,2.39,1.39,0.14,0.07,0,1.39,1
1.45,3.64,0.05,1.56,0.16,0.06,0,0.58,1
2.26,4.36,0.1,1.35,0.74,0.00,0,1.16,1
5.92,4.67,0.36,3.56,0.69,0.01,0.01,5.27,1
7.78,4.22,0,10.36,1.2,0.12,0.2,5.49,1
4.48,3.2,0,3.43,0.2,0.26,0.18,4.8,1
3.12,3.73,0.11,1.4,0.52,0.11,0,1.78,1
6.07,3.4,0,0.46,0.86,0.06,0,1.21,1
9.74,6.76,0,3.95,0.48,0.32,0,5.26,1
3.23,1.9,0.05,2,0.41,0.03,0,2.23,1
4.42,1.79,0,1.27,0.15,0.22,0,2.52,1
6.27,1.76,0.12,0.49,0.31,0.11,0.02,3.51,1
4.74,0.62,0.49,1.65,0.79,0.00,0.23,3.36,1
4.25,2.49,0.17,1.67,0.52,0.00,0.02,3.41,1
6.09,3.54,0.63,5.18,0.79,0.04,0.4,6.01,1
6.71,2.04,0.62,1.47,0.22,0.20,0.24,6.26,1
